mpirun -np 2 --report-bindings --map-by node ./IMB-MPI1 PingPong,,,,,,
tnode008 tnode009,,,,,,
latency 0.36 bandwidth 0.63,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,0.97,0,0.97,0,0.97
1,1000,0.98,1.02,0.303445259,3.294,0.97008406
2,1000,0.98,2.03,0.392109063,5.0985,0.97016812
4,1000,0.99,4.06,0.506679582,7.8916,0.97033624
8,1000,0.98,8.16,0.654726513,12.2146,0.970672481
16,1000,0.98,16.26,0.846031341,18.9059,0.971344962
32,1000,1,32.04,1.093233612,29.2627,0.972689923
64,1000,1.14,56.21,1.412666023,45.2931,0.975379847
128,1000,1.18,108.77,1.825433531,70.105,0.980759693
256,1000,1.4,182.26,2.358807759,108.5092,0.991519386
512,1000,1.48,346.11,3.048028838,167.9515,1.013038773
1024,1000,1.66,616.66,3.938633728,259.9567,1.056077545
2048,1000,2.31,888.19,5.089464853,402.3633,1.142155091
4096,1000,3.17,1290.55,6.576557831,622.7814,1.314310182
8192,1000,4.44,1844.6,8.498165163,963.9465,1.658620364
16384,1000,6.25,2621.81,10.98124779,1492.0048,2.347240727
32768,1000,8.43,3888.83,14.18986342,2309.3381,3.724481454
65536,640,12.26,5345.97,18.33600587,3574.4136,6.478962908
131072,320,18.39,7128.93,23.6936115,5532.5086,11.98792582
262144,160,32.67,8023.72,30.61665829,8563.2651,23.00585163
524288,80,54,9708.34,39.56255317,13254.2965,45.04170327
1048576,40,96.91,10820.5,51.12235303,20515.1159,89.11340654
2097152,20,182.24,11507.75,66.05981589,31753.4754,177.2568131
4194304,10,352.57,11896.25,85.36186261,49148.3065,353.5436261
