mpirun -np 2 --report-bindings --map-by socket ./IMB-MPI1 PingPong,,,,,,
tnode008,,,,,,
0.38 0.61,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,0.56,0,0.56,0,0.56
1,1000,0.63,1.59,0.199378036,5.0142,0.560074476
2,1000,0.63,3.19,0.260456472,7.677,0.560148952
4,1000,0.63,6.33,0.340245973,11.7538,0.560297904
8,1000,0.64,12.51,0.444478578,17.9954,0.560595807
16,1000,0.63,25.25,0.580642305,27.5517,0.561191615
32,1000,0.7,45.39,0.75851909,42.1827,0.562383229
64,1000,0.91,70.43,0.990887514,64.5834,0.564766458
128,1000,1,128.18,1.29444081,98.8797,0.569532917
256,1000,1.19,215.53,1.690986097,151.3885,0.579065834
512,1000,1.18,432.2,2.209010995,231.7817,0.598131667
1024,1000,1.37,750.15,2.885730157,354.8667,0.636263335
2048,1000,1.79,1147.12,3.769758755,543.3145,0.71252667
4096,1000,2.94,1395.24,4.92460497,831.8353,0.86505334
8192,1000,3.29,2491.01,6.433232386,1273.5718,1.170106679
16384,1000,3.86,4245.11,8.404020054,1949.8874,1.780213359
32768,1000,4.72,6949.21,10.97854839,2985.3525,3.000426717
65536,640,6.8,9638.83,14.34177025,4570.6893,5.440853434
131072,320,10.87,12060.38,18.73529784,6997.9008,10.32170687
262144,160,20.11,13036.39,24.47476002,10714.0548,20.08341374
524288,80,39.05,13427.16,31.97247693,16403.6294,39.60682748
1048576,40,91.03,11518.82,41.76708087,25114.5865,78.65365495
2097152,20,216.62,9681.34,54.56221137,38451.3963,156.7473099
4194304,10,403.46,10395.91,71.27706433,58870.5644,312.9346198
