"mpirun -np 2 --report-bindings --mca pml ob1 --mca btl tcp,vader,self ./IMB-MPI1 PingPong",,,,,,
tnode008,,,,,,
0.45 0.54,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,0.25,0,0.25,0,0.25
1,1000,0.3,3.34,0.07315703,13.6585,0.25007139
2,1000,0.3,6.64,0.10008264,19.9685,0.25014278
4,1000,0.3,13.4,0.136918281,29.1934,0.25028556
8,1000,0.3,26.6,0.187311362,42.68,0.250571121
16,1000,0.3,52.97,0.25625173,62.3971,0.251142241
32,1000,0.3,107.05,0.350565756,91.2231,0.252284482
64,1000,0.35,183.6,0.479592272,133.3659,0.254568965
128,1000,0.39,326.98,0.656107286,194.9777,0.259137929
256,1000,0.45,564.08,0.897589049,285.0526,0.268275858
512,1000,0.63,816.44,1.227948718,416.7399,0.286551717
1024,1000,0.71,1433.83,1.679898006,609.2635,0.323103434
2048,1000,0.82,2509.06,2.298188247,890.7283,0.396206867
4096,1000,1.76,2323.68,3.144041602,1302.2229,0.542413734
8192,1000,2.11,3881.27,4.301213187,1903.8179,0.834827468
16384,1000,2.65,6176.49,5.884284377,2783.335,1.419654936
32768,1000,4,8192.8,8.050008481,4069.1674,2.589309872
65536,640,5.46,12007.13,11.01283221,5949.0229,4.928619744
131072,320,10.22,12822.73,15.06612989,8697.3254,9.607239489
262144,160,18.71,14007.55,20.61125289,12715.2762,18.96447898
524288,80,38.07,13770.49,28.19727089,18589.4215,37.67895795
1048576,40,88.32,11872.46,38.57533988,27177.2778,75.10791591
2097152,20,213.95,9801.95,52.77308051,39732.5128,149.9658318
4194304,10,422.29,9932.23,72.19633152,58087.9581,299.6816636
