size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed
0,1000,0.26,0,0,0
1,1000,0.29,3.47,0.0719672129674881,13.864
2,1000,0.29,6.87,0.0985085945886167,20.2598
4,1000,0.29,13.75,0.134838391090791,29.606
8,1000,0.29,27.47,0.184566552673712,43.2637
16,1000,0.3,53.43,0.252634372824287,63.222
32,1000,0.31,102.23,0.345805485380403,92.3875
64,1000,0.34,187.16,0.473337940448619,135.0074
128,1000,0.38,335.59,0.647904140738761,197.2888
256,1000,0.46,557.56,0.886850048801443,288.3016
512,1000,0.63,809.19,1.21391878768104,421.3003
1024,1000,0.72,1425.6,1.66160990245931,615.6536
2048,1000,0.82,2496.07,2.27440871330867,899.6655
4096,1000,1.78,2306.06,3.11320664827408,1314.6971
8192,1000,2.06,3979.11,4.26135178701393,1921.1903
16384,1000,2.74,5978.62,5.83293083443529,2807.4695
32768,1000,3.96,8267.21,7.9841054716459,4102.6051
65536,640,5.57,11776.38,10.9286295332075,5995.2098
131072,320,8.69,15085.94,14.9590888920802,8760.9066
262144,160,18.86,13901.53,20.475974576794,12802.4684
524288,80,38.03,13785.85,28.0274780031213,18708.4746
1048576,40,87.79,11943.52,38.3639626172286,27339.0265
2097152,20,213.46,9824.34,52.5125245850594,39951.0052
4194304,10,428.9,9779.17,71.8790513328799,58381.1139
