size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed
0,1000,1.36,0,0,0
1,1000,1.36,0.74,0.459917721159,2.1777
2,1000,1.35,1.48,0.5844208277187,3.4272
4,1000,1.36,2.95,0.742627840063882,5.3936
8,1000,1.36,5.87,0.943662653144523,8.4883
16,1000,1.36,11.77,1.19911906731528,13.3587
32,1000,1.4,22.89,1.5237294098772,21.0236
64,1000,1.69,37.96,1.93621415738382,33.0864
128,1000,1.73,74.19,2.4603615569484,52.0707
256,1000,1.99,128.52,3.12639950897208,81.9476
512,1000,2.07,247.03,3.97273882860699,128.9672
1024,1000,2.3,445.33,5.04818842090683,202.9656
2048,1000,2.97,688.85,6.41477012016761,319.4225
4096,1000,3.98,1029.23,8.15129552696119,502.6997
8192,1000,5.52,1485.28,10.3579111212362,791.1371
16384,1000,7.35,2228.76,13.1618737709323,1245.0732
32768,1000,10.04,3264.3,16.7248897132146,1959.4672
65536,640,14.55,4505.73,21.2524402518548,3083.7638
131072,320,23.76,5516.79,27.005631989417,4853.1556
262144,160,34.07,7693.21,34.3162550043715,7637.7832
524288,80,55.87,9384.84,43.6059173874004,12020.1652
1048576,40,98.81,10611.72,55.4103596372786,18917.056
2097152,20,184.81,11347.69,70.4103511423818,29771.222
4194304,10,354.55,11829.86,89.4709505667629,46853.2556
