mpirun -np 2 --report-bindings --map-by node ./IMB-MPI1 PingPong,,,,,,
tnode008 tnode009,,,,,,
0.34 0.65,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,15.41,0,15.41,0,15.41
1,1000,15.57,0.06,16.70079526,0.1701,15.41045641
2,1000,15.54,0.13,17.48650993,0.2797,15.41091282
4,1000,15.54,0.26,18.30918975,0.46,15.41182564
8,1000,16.12,0.5,19.17057382,0.7565,15.41365128
16,1000,16.13,0.99,20.07248302,1.2441,15.41730257
32,1000,16.19,1.98,21.01682394,2.0461,15.42460514
64,1000,15.67,4.08,22.00559283,3.365,15.43921027
128,1000,15.96,8.02,23.04087988,5.5341,15.46842055
256,1000,16.19,15.81,24.1248736,9.1015,15.52684109
512,1000,16.39,31.23,25.25986548,14.9684,15.64368218
1024,1000,16.79,61.01,26.4482548,24.6172,15.87736437
2048,1000,38.53,53.15,27.69255374,40.4859,16.34472873
4096,1000,39.2,104.48,28.99539263,66.5837,17.27945746
8192,1000,39.67,206.5,30.35952559,109.5044,19.14891493
16384,1000,41.75,392.42,31.78783628,180.0926,22.88782986
32768,1000,49.1,667.32,33.28334406,296.1828,30.36565972
65536,640,81.05,808.63,34.84921031,487.1066,45.32131944
131072,320,134.36,975.52,36.48874514,801.1024,75.23263887
262144,160,202.48,1294.69,38.20541443,1317.5046,135.0552777
524288,80,317.84,1649.52,40.00284706,2166.7869,254.7005555
1048576,40,524.23,2000.23,41.88484269,3563.5289,493.991111
2097152,20,957.16,2191.01,43.8553797,5860.6308,972.572222
4194304,10,0.00196123,2138.6,45.91862366,9638.4775,1929.734444
